#Top: bd_929b_c_shift_ram_0_0   Floorplan: design_1   Part: xc7a100tfgg484-2
#Generated by: fabian_olbert   on: Thu Mar 26 10:02:04 2026
#Build: Vivado v2024.1   by: xbuild   on: Wed May 22 18:36:09 MDT 2024
#Package Version: FINAL 2012-11-02
#Package Pin Delay Version: VERS. 2.0 2012-11-02

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 5 unassigned signals in this design. The last 5 rows of this file list these signals.
################################################################################

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,OFFSET_CONTROL,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
0,M9,IPAD_X0Y31,VN_0,96.149,97.115,,,,,,,,,,,,,,,,,,,,,
0,L10,IPAD_X0Y30,VP_0,102.395,103.424,,,,,,,,,,,,,,,,,,,,,
0,G11,,DONE_0,129.243,130.542,,,,,,,,,,,,,,,,,,,,,
0,V12,,TCK_0,154.174,155.724,,,,,,,,,,,,,,,,,,,,,
0,E12,,VCCBATT_0,,,,,,,,,,,,,,,,,,,,,,,
0,M10,,VREFP_0,105.077,106.133,,,,,,,,,,,,,,,,,,,,,
0,K9,,GNDADC_0,,,,,,,,,,,,,,,,,,,,,,,
0,K10,,VCCADC_0,,,,,,,,,,,,,,,,,,,,,,,
0,N10,,DXP_0,114.116,115.263,,,,,,,,,,,,,,,,,,,,,
0,L12,,CCLK_0,111.407,112.527,,,,,,,,,,,,,,,,,,,,,
0,L9,,VREFN_0,116.773,117.947,,,,,,,,,,,,,,,,,,,,,
0,N9,,DXN_0,141.830,143.256,,,,,,,,,,,,,,,,,,,,,
0,U13,,TDO_0,45.271,45.726,,,,,,,,,,,,,,,,,,,,,
0,R13,,TDI_0,60.738,61.348,,,,,,,,,,,,,,,,,,,,,
0,U12,,INIT_B_0,56.265,56.831,,,,,,,,,,,,,,,,,,,,,
0,U10,,M1_0,86.666,87.537,,,,,,,,,,,,,,,,,,,,,
0,U11,,M0_0,86.940,87.814,,,,,,,,,,,,,,,,,,,,,
0,T13,,TMS_0,35.789,36.149,,,,,,,,,,,,,,,,,,,,,
0,N12,,PROGRAM_B_0,89.684,90.585,,,,,,,,,,,,,,,,,,,,,
0,U8,,CFGBVS_0,101.909,102.933,,,,,,,,,,,,,,,,,,,,CFGBVS_0,
0,U9,,M2_0,73.565,74.305,,,,,,,,,,,,,,,,,,,,,
0,F12,,VCCO_0,,,,,,,,,,,,,,,,,,,,,,VCCO_0,
0,T12,,VCCO_0,,,,,,,,,,,,,,,,,,,,,,VCCO_0,
13,Y17,IOB_X0Y49,IO_0_13,90.185,91.091,,,,,,,,,,,,,,,,,,,,,
13,Y16,IOB_X0Y48,IO_L1P_T0_13,132.403,133.734,,,,,,,,,,,,,,,,,,,,,
13,AA16,IOB_X0Y47,IO_L1N_T0_13,133.142,134.480,,,,,,,,,,,,,,,,,,,,,
13,AB16,IOB_X0Y46,IO_L2P_T0_13,143.697,145.142,,,,,,,,,,,,,,,,,,,,,
13,AB17,IOB_X0Y45,IO_L2N_T0_13,134.455,135.807,,,,,,,,,,,,,,,,,,,,,
13,AA13,IOB_X0Y44,IO_L3P_T0_DQS_13,160.672,162.287,,,,,,,,,,,,,,,,,,,,,
13,AB13,IOB_X0Y43,IO_L3N_T0_DQS_13,168.040,169.729,,,,,,,,,,,,,,,,,,,,,
13,AA15,IOB_X0Y42,IO_L4P_T0_13,142.466,143.898,,,,,,,,,,,,,,,,,,,,,
13,AB15,IOB_X0Y41,IO_L4N_T0_13,138.627,140.021,,,,,,,,,,,,,,,,,,,,,
13,Y13,IOB_X0Y40,IO_L5P_T0_13,134.822,136.177,,,,,,,,,,,,,,,,,,,,,
13,AA14,IOB_X0Y39,IO_L5N_T0_13,139.360,140.760,,,,,,,,,,,,,,,,,,,,,
13,W14,IOB_X0Y38,IO_L6P_T0_13,135.845,137.210,,,,,,,,,,,,,,,,,,,,,
13,Y14,IOB_X0Y37,IO_L6N_T0_VREF_13,135.436,136.797,,,,,,,,,,,,,,,,,,,,,
13,AB11,IOB_X0Y36,IO_L7P_T1_13,161.911,163.538,,,,,,,,,,,,,,,,,,,,,
13,AB12,IOB_X0Y35,IO_L7N_T1_13,159.469,161.071,,,,,,,,,,,,,,,,,,,,,
13,AA9,IOB_X0Y34,IO_L8P_T1_13,164.007,165.655,,,,,,,,,,,,,,,,,,,,,
13,AB10,IOB_X0Y33,IO_L8N_T1_13,171.066,172.785,,,,,,,,,,,,,,,,,,,,,
13,AA10,IOB_X0Y32,IO_L9P_T1_DQS_13,144.169,145.618,,,,,,,,,,,,,,,,,,,,,
13,AA11,IOB_X0Y31,IO_L9N_T1_DQS_13,152.460,153.992,,,,,,,,,,,,,,,,,,,,,
13,V10,IOB_X0Y30,IO_L10P_T1_13,164.017,165.666,,,,,,,,,,,,,,,,,,,,,
